ID	composer	title	description
101500	Rachel McClanahan	Composition #11; Infinite	"So it seriously took me longer to name this song than it did to write it. I was at the piano for about ten minutes, just playing stuff and I though it sounded kind of good (hey, that's a first). Then I videotaped myself playing, arranged my little bits into a song in about a half hour, and here we are. I'll post a videoscore soon, but I'm not going to do it tonight because people are asleep at my house :( Also, if you care, here's how I thought of this name: So pretty much I was trying to remember what I was thinking about when I was writing it. And I was thinking about deep chiz like my future and stuff because today my band teacher found a cd of my scores that I've been wanting to give him for like a few months. He listened to them and said they were good and that I could go places with this if I commit myself. (The cd had mostly original stuff on it.) We are now playing one of my songs in band for our next concert (!!!!!). So ANYWHO! That's what I was thinking about when I was writing this. I had that feeling, you know, when you're just like insanely excited for everything and you aren't thinking about the fact that you have to go to gym tomorrow and physically exert yourself or teach kids at church, you're just excited about everything. And I was trying to name that feeling. And, after a while, I just decided the best way to describe it was infinite. Not thinking about all the bad things that may happen, that will inevitibly happen, but just feeling like you could do anything right in that moment. So yeah. Deep chiz over. Bah homies comment yo thoughts on dis chiz! 

P.S. I just read that over and realized how insanely Perks of Being a Wallflower it sounded. So yeah, I didn't mean to do that... XD"
101220	Hermeto Pascoal	18 de Setembro	
102720	Lydia Grace Ryan	Sisters Three (Flute 2)	
1017141	 Aditional Arrg. by Matheus Siagian	On My Own; On My Own - Mix Arrangement	
102986		Jose Cruz	
1019781	Geoge Gershwin	RHAPSODY IN BLUE	
100753	Metallica	Nothing Else Matters	
101996	Hans Zimmer (arr. by Pranav Singh)	Gotham's Reckoning (Sax Quartet)	Arranged for soprano, alto, tenor, and baritone sax.
100179	Greg Simmons	Holy, Holy, Holy!	
102345	Miguelangel García Márquez	La ranossa	"Una obra para un ensamble de vientos, no muy completa pero creada por mi, creada para decir que no existe un final... es el segundo movimiento de mi obra llamada ""the think's suite"""
1017371	Victor	Morning Has Broken	Violin, Acoustic guitar, grand piano, contrabass , oboe, drums
102093		no name	
1024806		I've Seen All Good People	
1025781		Sample; Sample16thNoteBassDrum	Funk Book #9
1018006		Stop Sign Swing; Completed; 1018006	"Completed version of Stop sign Swing
An original by elijah Gardner"
1025396		Hymn 135(Holy, Holy, Holy); Hymn 135	"Holy, Holy, Holy
from 
Hymns Ancient and Modern"
1031956		Your Voices Raise; 1031956	
102989		Suit & Tie	
100274	J. Labbe	7th Grade Sightreading	7.16
1013321	Philip Glowa	Posh	Transcribing a jazz combo piece. storing online in case the program crashes
102897		Historias del Libro de Mormón	Arreglo de un arreglo para coro con acompañamiento de piano
103208	James Thomas 27 April 2013	Funeral March; Melancholic March	
1016436	Composer	Audition music; Audition Music	
1018871	Clarise Towson	Butterfly Song for boys	
1021191	Gregorio Edward Alvarez; G. E. A.	The Warrior's Hymn Mvt. 1; The Warrior's Hymn	An original piece arranged for brass ensemble. This piece is still a work in progress so constructive criticism is appreciated. 
100785	G.F.Handel	Air and Bourrèe	
1020141	Kayleigh lane	1020141; Stomp	
102219	Meghan Burke	Where I Belong	"Counterpoint project using a theme from ""Where I Belong"" by Dented Personality."
103234	Evert Taube, 1933	Calle Schewens vals	"Accordion

I Roslagens famn"
1017046	Composer; DAMIEN LAI 	hit the road; Hit The Road	"normal song. very nice. enjoy!
"
1025506		Knight_of firmament_(deemo)_-_Holy_knight_(cytus); Knight of firmament (deemo) - Holy knight (cytus)	Another song from the game Deemo and Cytus
1013886		Ronde de nuit	Pas terminé
101123	Christine M. Harris	At-Ti-Tude	"Add lyrics
"
100177	A. L. Thornburg	The Nautilus	Yes. I'm just that awesome.
102385	Jeremy Evans	Rebel_Viola Duet; Rebel	Why not? I play the viola too.
101152	Blankenship arr Johnson	Worthy of Worship	
1026301	N. Kohn	"Symphony 1; Symphony 1

"	"I have been writing this symphony since I was thirteen years old and I am 18 now. Movement timings below. Each movement reflects a different style. Hope you enjoy and please leave any comments. 

Mvt 1:0:00-20:07
Mvt 2:20:07-25:02
Mvt 3: 25:02-35:30
Mvt 4:35:30-42:36
Mvt 5: 42:36-End"
1016621	Andro Alexandru Sebastian	Sonata Nº 1; Sonata No. 1 - Fa Major	
101882	Arr: Hillary Doan Sperry	O Holy Night	An arrangement for school aged kids to play a brief rendition of Oh Holy Night with mixed instruments
1033466	Aleksei Turenkov (1886-1958); Aleksei Turenkov	A. Turenkov: Разбойника благоразумнаго (The Wise Thief); Разбойника благоразумнаго	"""By the Wood of the Cross, illumine me, too, and save me!""  A trial run for Russian Orthodox Liturgy in MuseScore.

Setting #2 of the (at least) 3 by Aleksei Turenkov (1886-1958) of the Orthodox (Good Friday) Exapostilarion of the Wise Thief, ""Razboinika Blagorazumnago"" (the text is in Old Church Slavonic).  In its 20 measures/two minutes, this short work seems to pack many of the most affecting, earmark chords and tropes of 19th-20th century Russian Orthodox Church Music, imbuing it with the rich, dark, mystery of Orthodox Holy Week.

The text speaks of the ""good"" thief, him crucified to the right of Jesus, who confesses Jesus (""O Lord"") petitioning to remember him when he arrives in Heaven (Luke 23:42-43); Jesus grants his prayer, ""This-day shalt thou be with me in Paradise"".   There is extensive discussion of the significance of this in various traditions at https://en.wikipedia.org/wiki/Penitent_thief, and in Orthodoxy in particular at http://orthodoxwiki.org/Dismas_the_thief .  In brief, he is instantly saved by Jesus because of his confession of faith in his request; the incident is taken (in these traditions) as a proof-text of the sufficiency and necessity of confession and faith for Salvation.

The text in transliteration and translation, reflecting this, reads

Razboinika blagorazumnago    // The wise thief
Vo yedinom chasye                   //In one instant
Rayevi spodobil yesi, Gospodi.  //Madest thou worthy of Paradise, O Lord.
I mene drevom krestnym          //And me, too, by the Wood of the Cross,
Prosvyeti i spasi mya!               //Illumine and save me!

This text/setting is employed before Communion on (Orthodox) Good Friday.
The settings are often, but not uniformly, dark and mysterious, as is Turenkov's, here.
The present setting brings us rampant minor sixth chords, flat and minor ninth chords, augmented sixths French and German and in third inversion, -profundo- writing, and many other ""standard"" gestures of 19th-20th century Russian Church Music that contribute to its exquisite, dark, mysterious sound (in many works).  The intensity and concision of this short work are exceptional.

Russian Orthodox Church Music is without exception in Old Church Slavonic, the predecessor of Russian, Bulgarian, and other modern Slavic languages, and a cappella.  The use of ""16' bass singers"" (""oktavists"") is traditional too; their parts are sometimes written, but often added as a ""pedal stop"" by directors (organs are not ever used). Numerous recordings of these remarkable men are to be found on the web (start at http://www.oktavism.com).

I worked from a PDF score I ""just found in Russia"", although I have known the work from a handwritten score given to me by the late Igor Studenzoff, formerly of the Don Cossacks, in 1972 at Harvard.  I first encountered it on Spassky's 1954 ""Grand Prix du Disque"" LP of Holy Week and Pontifical Liturgy, recorded at the Cathédrale Alexandre Nevsky on the Rue Daru.

I think the ""Choeur de l'Église Russe de MIDI"" does a pretty fine job here, considering.

[20 Sept 2015 - reconciled mm 6 (rhythm), 16-18 (bass) to I.S.'s score & recording]."
1019786	Hitos; trans. David Song; kim	elc; Empty Loneliness	
1029786	Hilarión Eslava	Sevillanas Bajo; Sevillanas	
103151	Arr. Daniel Choi	Gentleman	
1017726	Glimmer Phosphorescence	"Moment V. 
Practicing for a Cello Recital With the A.C. BLARING; Moment V. Practicing for a Cello Recital With the A.C. BLARING"	"The final piece of the moments set, the story behind which is 100% true. I have a cello recital on the fourth with my cello choir, and as much as I need to practice my part in ""Macabre for Four Cellos"", I would rather not die of heat stroke alone in my room, and thus the air conditioning made it nearly impossible for me to play the right notes. What I was able to play sounded just about as non-complex and simple as this, although altogether I think it sounds pretty interesting."
100909	"Giuseppe Maria Ciravolo
Brescia 17 marzo 2013"	"Themae I (serendipity); Themae I
(serendipity)"	"The first of ten themes.
...a simple piece to play with feeling."
1031601	Lucy Berman	Kiss From a Rose	
103522	KYA	"Prelude
 B-flat Major; Prelude in B-flat Major"	"Thank you for listening, please listen to the videoscore to the right. Comments are appreciated. 

(the videoscore is not played by me, but my piano)

Edit: I replaced the score with a cleaner version, but it looks pretty bad here because it was rendered with Musescore 2.0 while I still have the older version."
103554		Thee (zonder suiker); Tea (Without sugar)	"This arrangement start with three friends who like to fool around with the music we love. Specially music made by every thing but recorders. 
Before my final exam  at the School of Music in Amsterdam I showed my teacher  the piece my friend made of the music we fooled around with and told her that that I like to play that on my exam.
Luckely she liked it and helped us made it the exciting piece it is now.  I played it on my exam with three bassrecorders.  Now I want to play it again with some friends on our eagle recorders so I modified it a bit. 

Some notes to play this piece: When you see a cross instead of a tone you play it ""spooked"" hold the air behind your tongue and let it explode (like a mute on a guitar) ""Con voce"" means you sing and blow air in your recorder (sounds a bit like destortion on a guitar)

It is a challenging and fun piece to play on alto ar bass recorders.
"
1026911		Within; Within Part 1	
101226	Pasa	Metsä yöhön vaihtuu	Pasa - Metsä yöhön vaihtuu: nuotit, sointumerkit
1035371		Power of Love 1 Trumpet; JRHS Marching Knights 20|5	
102884	Clemke	Assignment #7	
102627	Composer: Nine Inch Nails	"28 Ghosts IV 
from 'Ghosts I-IV''; NIN - Ghosts IV - 28 Ghosts"	"Song ""28 Ghosts"" present in CD IV of the album ""Ghosts I-IV"", by the band Nine Inch Nails (NIN).

I know that this transcription might be some kind of different to the original...
Listen both (my version and the original) and leave your comment."
1027536		Cantina Theme	*Probably not at original concert pitch*
10101	Daniel Meyers	Little Fly	
102621		Ave vera virginitas	
1021156	Manuel M. Ponce	Malgré tout	"Transcripción para guitarra de una obra para la mano izquierda sola del piano, por Manuel M. Ponce
Transcription pour guitare d'une pièce pour la main gauche seule du piano, par Manuel M. Ponce
Transcription for guitar of one piece for the piano's left hand only, by Manuel M. Ponce"
1032391		Nickelback - Next Contestant; 1032391	Download music in excellent quality https://soundcloud.com/egor-smirnov-guitar-pro/nickelback-next-contestan-guitar-pro-6
1017091	Ton Lans	Onze Vader	"Tekst uit de NBV
Piano en gemeentezang"
103550	John Williams	Jurassic Park	
1032906	Anon	Trio Mandolini Y Basso ; Trio Mandolini Y Basso	A rather Baroque sounding 3 part tune for 2 mandolins and a bass, probably Italian, by the well known composer 'Anon'. I downloaded a midi file  from somewhere on the Internet and changed the 2nd mandolin part considerably because it was rather odd and mostly in unison. The rest is mainly as it was when I downloaded it. There are 2 other scores, an Allegro and a Largo, also available here. It is available on Freescores.com and there was no attribution. This can be said to be my version. I hope you enjoy it.
1017786		BR	
103263	Guy Lafarge, 1948	La Seine	
1021886	Ashwin Krishnaswamy	Relaxing On A Summer's Day	A leadsheet for a jazz piece I wrote. 
103078		Crazy Song	Wasn't Finished
101209	Patrick Ireland	When Setting Fire to Sleeping Giants	
103014	Xavier Mora	Some Strings and Junk	
102869	Robert Ellis	The Spirit of Peace and Joy; the spirit of peace and joy	S-A Choir and Piano
100402	Jared Keffer	Revolutions	
1019		It Came Upon a Midnight Clear; It Came Upon a Midnight Clear (Violin 2-Flute 2)	
1021666	Charles Hubert Hastings Parry, 1894	O praise ye the Lord; O praise ye the Lord (Laudate Dominum)	
1023571	"Georg Philipp Telemann
(1681 - 1767)"	Telemann - Fantasia Nr.1 für Altblockflöte; Fantasia 1	
102324	Claudio Miranda	Eu Sou	
1007681	Gerard van Amstel	Onze Vader in de hemel	
101855	Rihanna	Diamonds	
1032371	Schubert/arrgt J. Gauffriau	Le Complexe de la Truite	
103280	Pagano, Maresca, Soricillo	Min kat den danser Tango	
1035546	arr. Holcomb	A - Punk	
1020436		Blood Rose	
103045	Jacob Watts	Reincarnation of the Monarch Mvt. IV; Reincarnation Mvt. IV	The fourth movement is about the Monarch, after killing the Beast, is dying even though it flew away in the third movement. This piece portrays exactly what the title and subtitle say. The monarch metamorphosis's into the first form it came into life with and that is a caterpillar. 
1029971	Ronald Karle	Nocturne #11	I modified measure 48, 49 and 50 to make it easier to play. when I tried to play it myself My hand could not reach the A 
1030921	Seth Hughes	Assassin's Creed: Three; 'Assassin's Creed: Three' Theme	The opening of Assassin's Creed 3, beginning and ending with 'Ezio's Family'. 
1017621	"Thomas Bergersen
arr. Gatlyn Anderson; Thomas Bergersen"	Archangel - Two Steps from Hell; Archangel	I only play violin and piano, and I wanted to create an arrangement that I could play and also sounded as close to the original song as possible. The three violin parts hold the melody, alto/soprano voice and choir, and other instruments. The piano part includes the tenor/baritone voice and choir, as well as the cello and bass instruments. 
100348	Allie Payne	My Name; Allie Payne name in song	
102726	Groenleer and Hamilton	Hashtag in F; 1. Hashtag	
5534367		놓지마; 놓지마	
1022036	Lobe den Herren 1665; Harm. Bennett 1864	Praise to the Lord, the Almighty (Lobe Den Herren); Praise to the Lord, the Almighty	
101006	George Gershwin	Swanee	"The Suwannee River is a major river of southern Georgia and northern Florida,246 miles long.Stephen Foster misspelled the name in his song""Old Folks at Home"" and Gershwin also misspelled it."
1001751	Arranged by Nick Frg; Toshiro Masuda; Arranged by Nick Frg; Toshiro Masuda	"The Rising Fighting Spirit
; Naruto-The Rising Fighting Spirit"	
101114		Crystallize	Percussion Cover
101270	Maria Linneman	Ballad to Guinevere; Ballada do Guinevere	For two guitars.
101305	Eric Bingham-Kumpf	Clarinet Trio no.1; Clarinet Trio no. 1	
1034336		ติดปีกแห่งความคิดถึง	
100246	David Guetta	Titanium	
1031006		exercícios de coordenação na sanfona	
101673	Harrison Jennings	Eternal Fires1; Eternal Fires	The intro to a new orchestral piece called Eternal Fires. Ideas and constructive criticism welcome!
100980	Sir Arthur Sullivan	Sir Arthur Sullivan: The Long Day Closes; The Long Day Closes	"A lovely part-song by Sir Arthur Sullivan, the musical half of Gilbert and Sullivan.  It was written in 1868 for four voices and an optional keyboard accompaniment.  This music is said to have been a frequent selection at the funerals of D'Oyly Carte opera company members.  Here, the vocal parts are taken by a wind ensemble.  A (generous) friend of mine has described this arrangement as ""a glorious Victorian sunset."""
102665	G.Sauvlet	La Coquette	Novelette:short piece of lyrical music.
1019761	Arranged by L. Franklin; L. Franklin	Just A Fairy Tail	A fun mash up of songs from the anime series Fairy Tail. An updated version with a slower exit to the piece.
1018026	sullivan version	sully verions; Deathy Waltz	
1024961		Warm up	
1031046	"Phillip Phillips
Jenna Smith"	Gone, Gone, Gone	
1018126		"Mini Song;  Mini Song
				                                  Composed by @the.saxy.flute on Instagram;  Mini Song
                                      Composed by @the.saxy.flute on Instagram"	
100120		"Biyaa Biyaa Deldaar e Man
Holder of My Heart
Text by Rumi; Biyaa Biyaa Deldaar e ManHolder of My HeartText by Rumi"	
100922		Tänze nach Prätorius 2. Stimme für Violine	
1018531	"Daft Punk
Arr. Mark__; Daft Punk"	Instant Crush - Daft Punk; Instant Crush	
1023861	Koji Kondo	Mario Bros; Mario Bros Water Theme	Classical Guitar
103477	Gershwin	Summertime lead sheet g minor; Summertime	
1034256	Pink Floyd	Is There Anybody Out There	Incomplete --- getting there.
100806		All About the Time; 100806	
100488	Asia Kaiser	100488; Bass	
100981	Josh Fulford	Chameleon ; Chameleon	For a project for a Music Theory Course. Positive feedback appreciated. 
1033906	Hose270	Pokemon Amethyst; Pokemon Amethyst Main Theme	This is the official version based on the original. Once I rebooted the project after a long hiatus, I rewrote what I'd done already and this was the result. It's not the version I'll be using in the game (there are too many instruments) but it's better than the one I'll use in-game.
100465		"Natalie Nat Zarasian; Natalie ""Nat"" Zarasian"	
102085	TOKYO SKA PARADISE ORCHESTRA	"call from rio_TP solo; CALL FROM RIO
Tp"	
1012986	Linda Stassen	Sing Hallelujah; Gospel Acclamation (Sing Hallelujah)	Bilinguel
1022576		Its so good V1 Fichier travail; Its so good 	Fichier de travail
101769		iii	
1031616	Steven Menckowski	Amazing Grace	
1026751	Karl Jenkins	Palladio violin1; Palladio	
1029411	Arr. By. Braden Terry	Tear In My Heart	21 Pilots Cover
101647	Jason Hwang	Canon Rock	Hi
10136		haemilywya; 10136	
1028986	Andrew Cedar, Justin Franks, Charlie Puth, Cameron Thomaz	See You Again	"See You Again - Easy Piano 
Arranged by Amy Lucas"
100112		Do Re Mi; Belkis	
102639		Music Piece; YA	ya
1025081		Apollo 13 Practice Part; 1025081	I do not own this piece. All of it is written by Stan Phillip and Luke Alysworth.
1022391		Pursuit of Joy (Part 3 and 4); Pursuit of Joy (3+4)	The full score is coming soon!
1013231	Julen; Julián Prado	Lean On - Cuarteto de Cuerda (Julen); Lean On	The Best Quintet
1033971	Carson Perkins	Little Wooden Turtle	
1035766		#9 Bass Cleff song #3	
1014116	Arr. by Kdielol	Angel Beats-Otonashi's Theme Viola Arrangement; Otonashi	I got back into watching anime recently, and I found Angel Beats. Loving the main character's theme, I decided to make a cover for it for my instrument. I plan on making a full orchestral when I get the time, and if you guys want, I can possibly try to create a piano cover. Thanks for your support!
100211	anonym	Bourrée	
102719	Lydia Grace Ryan	Sisters Three (Flute 1)	
1021871		esempio 12; Crossroads	
1032481	Ashwin Krishnaswamy	Winter Nights	
1013286	Ryan Fernandes	Alvo mais que a neve	Paritura evangélica para uso de igrejas, ministérios de louvor etc.
1023476		The good the bad and the ugly; The good the bad and the ugly - ocarina group version	"I adapted the theme from ""the good the bad and the ugly"" for four ocarinas.
I hope you enjoy it.

Feel free to comment :)"
1027526	Pieces composed by Ramin Djwadi	Game of Thrones Medley (V2); Game of Thrones Medley (Unfinished)	
1028211	Bettina	Suite enfantine; 2. Ballade	Suite enfantine #2
1033621	Hellen Jo; Hellen Jo 	Lapis Lazuli Song	"All rights belong to their respective owners.
p= Thumb                            p= Pulgar
m= Medium Finger             m= Dedo Medio 
i= Index Finger                    i= Dedo Índice"
1026646	 Choral Arrangement by Donald A. Mills                        Words Unknown	"Greensleeves Work In Progress    7.4.15    7:04pm     ; Greensleeves 
Work In Progress    
7.4.15    
7:04pm     "	
102581	Neil Davidge	117	From Halo 4 by Neil Davidge
1017571	Isaac Spitler; Arranged by Christina Kim; Isaac Spitler; Arranged by Christina Kim	Shake it off	.
1024171		Dance of Day and Dark	
103049		Beethoven Sonata Op. 78, mov. II; 103049	
1031351	Composer	The Nutcracker suite from the Ballet	
1020826		Loving You; Loving You (tutti)	Voz Michael
102235	John Powell	Forbidden Friendship; Forbidden Friendship - WIP	
103386	aaron	Noad Exercise 31 - Teacher; Noad Exercise 31 Teacher	
100490		This is the Feast; This is the Feast (Bb Tuba)	I'm still working on this. I have a few things i need to add.
1029756	Georg Philipp Telemann (1681 - 1767)	II Adagio; III Allegro; I Vivace; Sonate TWV 40:118; Telemann: Kanon-Sonate TWV 40:118; Sonate TWV 40:118	Bearbeitet für 2 Altblockflöten
1020556	Kohn	Remember; Remember 	Piece for Soprano, Tenor, Piano and Viola. Hope you enjoy. Please let me know what you think.
1014576	ZUN	天狗の手帖 ～ Mysterious Note	
1030281	Charles Steven	He set me free	"chorus composed by Charles Stephen
Words added"
1018496	KaBass	Rumor Has It You Set Fire To The Rain	
100455	Malik Ming	Before the End of the World	
103282	James Powers	House Party: 2174	
101868		Super Trouper	
1028361	Lady Gaga	Poker Face	
102136		Cellotoner	øving 1
1023766	Nazeeh Aluqdah	Put it(in my face); Put it(in my Face)	"Put your love in my face
World's Greatest SongWriter Ever"
102364	Madame Brillon	Marche des Insurgents	
100478		IN A GADDA DA VIDA	
101180	Daniele Pasini	Psycowaltz	
1020081		The Avatar's Love	The Avatar's Love from Avatar: The Last Airbender
5125114		Kitty in the Lane (r)	"Source CC
Note Length 1/8
Notes NF version has |d/e/d/c/ df edcA| as first measure.
Key A
Rhythm reel
Book NFID.153b
Meter C
"
1025416	Arr. Ján Gašper; Alan Menken; Arr. Ján Gašper; Alan Menken	Never had a friend like me	
101776	Elia Nicholas	Hymn of Saint Barbara	
